"pontoLat";"pontoLong";"pontoEnd";"_idtipoSinal";"tipoSinalDesc";"pontoVagas"
"-30.0391913";"-51.224565900000016";"Via Imperatore - R. da República, 509 - Cidade Baixa";"13";"Parklet";"1"
"-30.0425476";"-51.22179640000002";"Boteco do Joaquim - R. Joaquim Nabuco, 350 - Cidade Baixa";"13";"Parklet";
"-30.0377766";"-51.22394120000001";"Agridoce Café - R. Sarmento Leite, 1024 - Cidade Baixa";"13";"Parklet";"0"
"-30.0260065";"-51.20399629999997";"20Barra9 - CB Restaurante - R. Hilário Ribeiro, 287 - Moinhos de Vento";"13";"Parklet";
"-30.0243987";"-51.20231739999997";"Blank - R. Padre Chagas, 347 - Moinhos de Vento";"13";"Parklet";"1"
"-30.0257973";"-51.20378740000001";"Maryaki Bar e Restaurante - R. Hilário Ribeiro, 292 - Moinhos de Vento";"13";"Parklet";"1"
"-30.0315345";"-51.2341859";"Boteko Andradas - R. dos Andradas, 741 - Centro Histórico";"13";"Parklet";"0"
"-30.0318815";"-51.234572000000014";"Andradas Mini-mercado - R. dos Andradas, 695 - Centro Histórico";"13";"Parklet";
"-30.031359";"-51.23362700000001";"Padaria Roma - R. dos Andradas, 797 - Centro Histórico";"13";"Parklet";"0"
"-30.0309858";"-51.2326832";"Boteco Histórico - R. dos Andradas, 895 - Centro Histórico";"13";"Parklet";"1"
"-30.038266041811106";"-51.22437865528002";"Restaurante de Rua - R. Sarmento Leite, 1084 - Centro Histórico de Porto Alegre";"13";"Parklet";"0"
"-30.03881151963109";"-51.22383679384842";"Boteko Republica - R. da República, 429 - Cidade Baixa, Porto Alegre";"13";"Parklet";"0"
"-30.0281536";"-51.20327789999999";"Mercado Brasco - R. Dr. Florêncio Ygartua, 151 - Moinhos de Vento, Porto Alegre";"13";"Parklet";"0"
"-30.04389408383424";"-51.18375046812287";"Box182 - R. Felizardo Furtado, 12 - Petrópolis, Porto Alegre";"13";"Parklet";
"-30.0361906";"-51.22300250000001";"Squisito - R. Sarmento Leite, 826 - Cidade Baixa, Porto Alegre - RS, 90050-170, Brasil";"13";"Parklet";
